day,pdays,previous,age_group_young_adult,age_group_adult,age_group_middle_aged,age_group_senior,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,default_yes,balance_log,housing_yes,loan_yes,contact_telephone,contact_unknown,month_encoded,campaign_log,y,poutcome_other,poutcome_success
21,151,1.3862943611198906,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,9.094143577573671,False,False,True,False,9,0.6931471805599453,False,False,False
21,166,0.6931471805599453,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,8.958540111412168,True,True,True,False,9,0.6931471805599453,True,True,False
21,91,1.6094379124341003,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,9.347054195292005,True,False,True,False,9,0.6931471805599453,True,False,False
22,86,1.6094379124341003,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,9.253016646256619,True,False,True,False,9,0.6931471805599453,False,True,False
23,143,1.3862943611198906,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,8.989818381366925,True,False,True,False,9,0.6931471805599453,True,False,False
23,147,1.0986122886681098,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,9.060679597421776,True,False,False,True,9,0.6931471805599453,True,False,True
25,89,1.0986122886681098,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,9.142596719889664,True,False,True,False,9,0.6931471805599453,False,True,False
4,140,1.6094379124341003,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,9.011035410141815,False,True,True,False,10,0.6931471805599453,False,True,False
5,176,0.6931471805599453,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,9.319463798994537,False,False,True,False,10,0.6931471805599453,False,False,False
6,101,2.4849066497880004,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,9.189218875354072,True,False,False,True,10,0.6931471805599453,False,True,False
10,174,1.0986122886681098,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,9.107864580386947,True,False,True,False,10,0.6931471805599453,False,False,False
12,170,1.3862943611198906,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,9.096051225574055,True,False,False,True,10,0.6931471805599453,True,False,False
12,167,1.3862943611198906,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,9.093132171070641,True,False,True,False,10,0.6931471805599453,False,False,True
13,174,0.6931471805599453,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,9.133891199812776,True,False,True,False,10,0.6931471805599453,False,False,False
17,195,1.0986122886681098,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,9.174920426744922,True,False,False,False,10,0.6931471805599453,False,False,False
17,165,1.0986122886681098,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,9.004545458996587,False,False,False,False,10,0.6931471805599453,False,False,False
17,129,1.0986122886681098,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,8.997023381479709,True,False,False,False,10,0.6931471805599453,False,False,False
17,188,0.6931471805599453,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,9.562685957753686,True,True,False,False,10,0.6931471805599453,False,False,False
17,196,1.0986122886681098,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,9.002824076547672,True,False,False,False,10,0.6931471805599453,False,False,False
17,172,0.6931471805599453,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,9.164715193949908,False,False,False,False,10,0.6931471805599453,False,False,False
17,118,0.6931471805599453,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,9.017847259860732,True,False,False,False,10,0.6931471805599453,False,False,False
17,167,1.0986122886681098,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,9.174091239301061,True,False,False,False,10,0.6931471805599453,False,False,False
17,119,1.3862943611198906,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,9.15957325492253,False,False,False,False,10,0.6931471805599453,False,False,False
17,104,1.0986122886681098,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,9.049584593096789,False,False,False,False,10,0.6931471805599453,False,True,False
17,171,1.0986122886681098,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,9.0142038261485,True,True,False,False,10,0.6931471805599453,False,False,False
17,117,1.0986122886681098,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,9.1821466376054,True,True,False,False,10,0.6931471805599453,False,True,False
17,164,1.0986122886681098,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,9.025936648977904,True,False,False,False,10,0.6931471805599453,False,False,True
